CustomerID,Tenure,MonthlyCharges,TotalCharges,NumProducts,SupportCalls,Contract,PaymentMethod,InternetService,SeniorCitizen,Partner,Churn
CUST-00000,52,118.95,5567.73,2,0,One Year,Credit Card,No,0,0,0
CUST-00001,15,88.43,1289.51,3,0,One Year,Mailed Check,Fiber Optic,0,1,0
CUST-00002,72,114.9,7608.35,5,1,Month-to-Month,Bank Transfer,DSL,0,1,0
CUST-00003,61,34.26,2111.68,3,4,Month-to-Month,Bank Transfer,No,1,0,0
CUST-00004,21,58.21,1111.96,2,3,One Year,Bank Transfer,Fiber Optic,0,1,1
CUST-00005,24,75.47,1815.85,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0,1,1
CUST-00006,3,27.68,74.5,4,2,Two Year,Credit Card,DSL,1,1,0
CUST-00007,22,20.42,472.28,4,1,Two Year,Mailed Check,DSL,0,0,0
CUST-00008,53,87.04,4964.55,1,2,Two Year,Bank Transfer,Fiber Optic,0,0,1
CUST-00009,2,84.18,148.68,4,2,Month-to-Month,Electronic Check,Fiber Optic,1,0,1
CUST-00010,30,61.08,1814.7,5,3,Month-to-Month,Bank Transfer,No,0,0,0
CUST-00011,38,68.96,2283.12,5,2,Two Year,Mailed Check,Fiber Optic,0,1,0
CUST-00012,2,61.54,126.71,5,0,Month-to-Month,Mailed Check,No,0,0,0
CUST-00013,64,22.4,1332.28,3,3,Month-to-Month,Mailed Check,DSL,0,0,0
CUST-00014,60,53.54,3239.02,1,5,Month-to-Month,Mailed Check,DSL,0,1,1
CUST-00015,21,37.71,796.06,5,2,Month-to-Month,Electronic Check,Fiber Optic,0,0,0
CUST-00016,33,29.84,1110.08,2,3,One Year,Bank Transfer,DSL,0,0,0
CUST-00017,58,115.67,6807.65,5,1,Two Year,Credit Card,Fiber Optic,0,0,0
CUST-00018,22,79.94,1802.47,3,4,One Year,Credit Card,Fiber Optic,0,0,1
CUST-00019,49,92.87,4416.37,2,3,One Year,Electronic Check,Fiber Optic,0,0,0
CUST-00020,59,51.54,3450.54,1,5,Month-to-Month,Bank Transfer,DSL,0,1,1
CUST-00021,42,59.31,2698.16,1,2,Month-to-Month,Bank Transfer,DSL,0,1,0
CUST-00022,60,43.69,2452.64,5,0,Month-to-Month,Credit Card,DSL,0,1,0
CUST-00023,15,29.7,491.5,2,3,Month-to-Month,Electronic Check,Fiber Optic,0,0,1
CUST-00024,62,37.9,2302.14,2,1,Month-to-Month,Credit Card,DSL,0,0,0
CUST-00025,62,99.75,6794.29,5,0,One Year,Electronic Check,No,0,1,0
CUST-00026,47,87.75,4523.75,5,3,Month-to-Month,Mailed Check,Fiber Optic,1,1,1
CUST-00027,62,74.69,4198.55,4,2,Two Year,Bank Transfer,No,0,0,0
CUST-00028,51,67.51,3650.77,4,2,Two Year,Bank Transfer,Fiber Optic,0,1,1
CUST-00029,55,112.24,5785.48,5,2,Month-to-Month,Bank Transfer,No,0,1,1
CUST-00030,64,27.27,1639.25,3,1,Month-to-Month,Bank Transfer,Fiber Optic,0,0,0
CUST-00031,3,48.06,135.37,4,3,One Year,Bank Transfer,Fiber Optic,0,0,0
CUST-00032,51,54.99,2994.27,5,2,Two Year,Bank Transfer,DSL,0,1,0
CUST-00033,7,98.24,631.94,2,3,Two Year,Mailed Check,No,1,0,0
CUST-00034,21,119.25,2129.29,4,5,Month-to-Month,Bank Transfer,DSL,0,0,1
CUST-00035,39,44.07,1829.71,3,0,Month-to-Month,Mailed Check,DSL,0,1,0
CUST-00036,18,107.43,1742.99,1,0,Month-to-Month,Bank Transfer,DSL,1,1,1
CUST-00037,4,103.06,363.33,2,2,Month-to-Month,Bank Transfer,DSL,0,1,1
CUST-00038,60,42.47,2347.54,3,3,Month-to-Month,Electronic Check,DSL,1,0,1
CUST-00039,14,59.93,808.79,3,2,One Year,Bank Transfer,Fiber Optic,0,1,0
CUST-00040,9,60.97,544.76,3,2,Month-to-Month,Credit Card,Fiber Optic,0,1,1
CUST-00041,53,117.82,5391.29,2,3,Two Year,Electronic Check,Fiber Optic,0,1,0
CUST-00042,2,38.09,86.93,3,0,Month-to-Month,Electronic Check,DSL,0,1,0
CUST-00043,60,99.92,6383.8,1,1,Month-to-Month,Electronic Check,DSL,0,0,0
CUST-00044,71,53.42,3591.64,4,2,Month-to-Month,Credit Card,DSL,0,1,0
CUST-00045,44,93.09,3873.18,2,3,Month-to-Month,Mailed Check,Fiber Optic,0,1,0
CUST-00046,8,62.0,488.34,3,4,One Year,Electronic Check,DSL,0,0,1
CUST-00047,47,77.84,3797.04,5,4,Month-to-Month,Electronic Check,Fiber Optic,0,1,0
CUST-00048,35,103.26,3230.69,4,4,Two Year,Electronic Check,DSL,0,1,0
